序号,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180
45,9.22,24.04,36.89,24.08,16.16,20.25,31.05,7.62,22.20,7.28,17.00,15.81,17.12,13.93,13.42,11.18,10.44,5.83,5.00,7.07,8.00,10.77,11.40,14.32,11.00,15.30,16.03,13.34,13.04,11.66,8.94,11.40,12.21,9.85,30.41,33.24,35.85,27.86,37.58,29.07,28.16,16.16,12.04,7.07,4.47,0.00,2.24,2.24,4.12,7.62,13.00,16.28,9.06,7.81,10.00,13.42,7.21,12.65,14.00,9.22,11.40,13.04,13.89,16.16,13.15,11.05,11.40,5.83,3.16,5.00,5.10,3.61,2.24,15.30,11.70,7.07,10.05,7.62,15.03,14.32,16.28,18.44,12.65,10.77,5.66,9.49,9.85,11.70,10.63,15.56,18.97,19.65,21.21,24.19,23.09,26.31,22.47,23.26,31.38,35.38,33.30,32.80,28.84,25.94,27.20,21.95,26.93,21.84,26.93,25.02,18.44,12.53,19.70,19.42,23.77,25.00,21.02,24.08,30.61,28.02,28.65,16.64,18.44,21.21,28.32,46.87,40.50,38.28,34.06,32.53,33.24,24.19,27.07,29.02,26.17,23.00,22.47,21.10,21.40,18.38,17.46,17.12,15.30,15.81,17.03,21.63,17.20,17.49,19.65,20.00,16.49,16.64,16.76,13.60,28.64,19.80,18.38,17.03,10.44,15.13,17.26,25.96,26.83,23.32,21.93,17.46,22.67,22.02,15.00,13.89,12.08,13.45,14.87,17.03,17.49,19.92,18.25,14.32,20.62,14.56,18.03
46,11.05,23.77,38.08,24.76,16.12,21.47,32.76,5.39,24.33,8.00,19.24,17.80,18.44,15.65,15.26,13.04,12.08,7.81,7.21,9.22,10.05,12.37,12.53,15.81,13.04,16.76,17.26,15.13,14.32,13.00,10.44,13.45,14.21,11.66,31.78,34.79,37.34,29.41,39.00,30.46,29.83,14.56,11.40,6.71,2.24,2.24,0.00,4.47,2.83,8.06,14.14,15.62,7.00,5.66,8.06,11.70,5.39,13.15,15.13,10.00,10.63,12.04,12.81,14.76,11.05,9.00,9.85,5.00,4.12,3.16,7.00,4.47,3.16,14.87,11.66,6.08,9.06,6.08,14.32,13.04,15.03,17.12,11.18,9.22,3.61,7.28,7.62,9.49,8.49,13.45,18.79,19.31,20.62,23.54,22.00,25.08,22.36,23.32,31.62,36.07,33.94,33.30,29.21,26.08,27.66,22.20,26.57,21.54,26.83,24.02,18.03,12.81,21.19,21.21,25.50,26.68,23.00,26.02,31.62,29.15,29.97,17.89,19.10,22.02,29.21,48.02,41.68,39.45,35.00,33.30,34.06,25.50,29.02,31.06,28.28,25.02,24.04,22.36,22.47,19.92,19.24,19.03,17.12,16.28,17.69,22.02,19.42,19.72,21.84,22.20,17.12,18.60,18.97,15.81,30.87,21.93,20.12,19.10,12.65,17.26,19.42,28.16,29.07,25.55,24.17,19.70,24.84,24.08,17.20,16.12,14.32,15.62,16.97,19.10,19.42,21.54,19.03,15.03,21.21,15.13,17.89
47,7.62,24.52,35.81,23.60,16.49,19.21,29.41,9.85,20.10,7.21,14.76,13.89,16.00,12.37,11.70,9.49,9.06,4.12,2.83,5.00,6.08,9.43,10.63,13.04,9.06,14.04,15.03,11.70,12.04,10.63,7.81,9.43,10.30,8.25,29.15,31.78,34.44,26.40,36.24,27.78,26.57,17.89,13.04,8.06,6.71,2.24,4.47,0.00,6.00,7.81,12.17,17.20,11.18,10.00,12.04,15.26,9.22,12.53,13.15,8.94,12.53,14.32,15.23,17.72,15.30,13.15,13.15,7.28,3.61,7.07,3.61,4.00,3.16,16.03,12.17,8.54,11.40,9.43,16.03,15.81,17.72,19.92,14.32,12.53,7.81,11.70,12.08,13.93,12.81,17.69,19.42,20.22,22.02,25.02,24.33,27.66,22.80,23.41,31.30,34.83,32.80,32.45,28.65,26.00,26.93,21.93,27.46,22.36,27.20,26.17,19.10,12.65,18.36,17.72,22.14,23.41,19.10,22.20,29.73,27.02,27.46,15.62,18.03,20.62,27.59,45.80,39.41,37.20,33.24,31.89,32.56,23.02,25.18,27.00,24.08,21.02,21.02,20.00,20.52,17.00,15.81,15.30,13.60,15.65,16.64,21.47,15.00,15.26,17.46,17.80,16.16,14.76,14.56,11.40,26.40,17.69,16.76,15.00,8.25,13.04,15.13,23.77,24.60,21.10,19.70,15.23,20.52,20.00,12.81,11.66,9.85,11.31,12.81,15.00,15.65,18.44,17.72,13.93,20.25,14.32,18.44
48,13.34,26.40,40.82,27.59,18.87,24.19,35.17,5.00,26.08,6.32,20.25,17.69,17.09,15.00,14.87,12.73,11.40,8.06,8.25,9.85,12.04,14.87,15.26,18.38,15.03,15.65,15.81,17.46,17.00,15.65,13.00,13.60,14.21,11.31,34.44,37.34,39.92,31.95,41.63,33.11,32.28,16.12,13.93,9.43,3.00,4.12,2.83,6.00,0.00,6.08,12.65,12.81,5.39,6.32,9.22,13.15,7.00,11.00,13.60,8.25,7.81,9.22,10.00,12.08,9.49,7.28,7.28,2.24,3.61,1.41,9.22,7.21,5.83,17.46,14.42,8.54,11.40,8.06,16.76,15.03,17.03,19.00,13.00,11.00,5.00,6.40,7.07,8.60,8.94,13.89,21.47,21.93,23.09,25.96,24.08,27.00,25.06,26.08,34.41,38.90,36.77,36.12,32.02,28.84,30.48,25.00,29.15,24.17,29.53,26.17,20.62,15.62,23.77,23.54,27.89,29.12,25.08,28.16,34.41,31.91,32.65,20.59,21.93,24.84,32.02,50.77,44.42,42.19,37.80,36.12,36.88,28.18,31.14,33.00,30.07,27.02,26.57,25.06,25.24,22.47,21.59,21.21,19.42,19.10,20.52,24.84,20.12,20.62,23.35,22.83,15.00,18.38,20.40,17.26,31.95,22.20,19.42,21.00,14.14,19.03,21.10,29.61,30.08,26.40,25.30,20.88,25.24,24.08,17.89,17.09,15.52,16.12,17.20,19.21,19.10,20.59,17.03,13.04,19.03,13.00,15.23
49,15.00,31.62,43.42,31.40,23.77,26.91,36.25,10.77,25.32,1.00,18.03,13.42,11.18,10.00,10.30,8.54,6.71,6.32,8.06,8.25,13.04,17.03,18.44,20.62,15.65,10.00,9.85,18.87,19.80,18.38,15.56,10.20,10.44,7.28,36.62,38.95,41.68,33.62,43.57,35.23,33.54,22.20,19.42,14.56,9.06,7.62,8.06,7.81,6.08,0.00,6.71,9.85,10.00,12.37,15.30,19.24,13.04,5.10,7.62,2.24,6.00,8.00,9.00,12.04,13.45,11.31,8.94,4.47,4.47,7.28,11.31,11.18,9.85,22.80,19.31,14.14,17.12,14.00,22.36,21.00,23.00,25.02,19.03,17.03,11.05,11.66,12.53,13.60,14.87,19.70,26.57,27.20,28.64,31.58,30.02,33.02,30.08,30.87,38.95,42.64,40.61,40.22,36.36,33.54,34.67,29.53,34.48,29.41,34.54,32.06,25.96,20.12,25.81,24.60,29.07,30.41,25.30,28.46,37.48,34.71,35.00,23.35,25.81,28.43,35.38,53.41,47.01,44.82,41.01,39.70,40.36,30.61,31.32,32.56,29.27,26.93,28.30,27.66,28.28,24.41,22.83,21.93,20.59,23.32,24.41,29.15,17.26,18.11,22.09,19.65,9.06,13.89,19.10,16.28,29.43,18.38,14.14,20.88,13.60,18.68,20.40,28.00,27.46,23.54,23.09,19.00,21.54,19.72,15.13,15.00,14.14,13.15,13.60,15.23,14.42,15.00,11.00,7.00,13.15,7.07,10.63
50,17.49,36.67,45.28,34.89,28.64,29.41,36.62,17.46,24.17,6.32,15.81,9.00,4.47,5.00,6.08,5.83,4.24,8.54,10.77,9.43,15.26,19.72,21.93,23.02,17.03,3.61,3.16,20.62,22.83,21.47,18.79,8.06,7.62,5.66,38.18,39.82,42.64,34.71,44.69,36.77,34.21,28.64,25.02,20.02,15.52,13.00,14.14,12.17,12.65,6.71,0.00,12.17,16.64,18.97,21.84,25.71,19.42,4.12,1.00,4.47,10.82,12.53,13.42,16.55,19.85,17.80,14.87,11.18,10.05,13.93,14.87,16.12,15.03,28.16,24.33,20.02,23.02,20.22,28.02,27.17,29.15,31.26,25.32,23.35,17.46,18.36,19.24,20.25,21.54,26.40,31.58,32.39,34.13,37.12,36.06,39.20,34.93,35.44,43.08,45.79,43.91,43.83,40.31,37.95,38.48,33.84,39.62,34.53,39.29,38.01,31.26,24.74,27.66,25.50,29.83,31.24,25.24,28.30,40.00,37.01,36.80,26.08,29.55,31.76,38.28,55.15,48.80,46.69,43.60,42.72,43.27,32.65,30.89,31.38,27.86,26.42,29.70,30.00,31.06,26.25,24.04,22.67,21.93,27.51,28.23,33.24,14.32,15.52,20.62,16.03,5.00,9.06,17.89,15.81,26.02,14.04,8.06,20.81,14.14,18.60,19.72,25.71,24.02,20.02,20.40,17.09,17.12,14.56,12.65,13.42,13.60,10.77,10.20,11.00,9.22,8.49,5.83,3.16,8.60,4.12,10.20
51,24.70,38.95,53.01,40.31,31.62,36.40,46.10,14.87,34.93,10.77,27.17,21.10,15.23,17.12,18.03,17.03,15.03,16.16,17.89,18.03,22.83,26.63,27.66,30.23,25.50,15.52,13.93,28.65,29.21,27.80,25.00,19.10,19.03,16.12,46.32,48.76,51.48,43.42,53.34,44.94,43.38,26.68,26.42,22.20,15.26,16.28,15.62,17.20,12.81,9.85,12.17,0.00,12.37,17.09,19.92,23.77,18.79,8.06,12.37,10.20,5.00,4.12,4.00,5.83,13.04,12.04,8.06,10.63,13.60,13.04,20.81,19.80,18.38,30.02,27.20,21.10,23.71,20.12,29.07,26.57,28.46,30.08,24.35,22.47,17.00,14.32,15.30,15.03,18.44,22.02,34.13,34.48,35.34,38.08,35.44,37.85,37.74,38.83,47.20,51.62,49.52,48.92,44.82,41.62,43.28,37.80,41.59,36.72,42.19,37.64,33.12,28.43,35.51,34.44,38.91,40.25,35.11,38.28,46.86,44.20,44.65,32.80,34.66,37.48,44.60,63.01,56.61,54.41,50.33,48.80,49.52,40.22,41.11,42.20,38.83,36.69,38.08,37.20,37.64,34.13,32.65,31.78,30.41,31.89,33.24,37.64,26.02,27.07,31.58,28.02,9.43,21.21,28.64,25.96,38.01,26.17,19.92,30.68,23.41,28.46,30.08,37.22,36.01,32.02,32.06,28.28,29.27,26.68,24.08,24.33,23.77,22.09,22.00,23.09,21.38,19.70,11.40,9.49,11.40,8.54,4.47
52,18.03,27.20,44.28,30.23,20.52,27.86,39.62,2.83,31.26,10.63,25.63,22.80,21.10,19.80,19.85,17.80,16.28,13.42,13.60,15.23,17.03,19.24,18.97,22.56,20.02,20.00,19.72,22.09,20.88,19.65,17.26,18.87,19.42,16.40,38.28,41.48,43.97,36.14,45.54,37.00,36.67,14.32,14.87,11.66,5.10,9.06,7.00,11.18,5.39,10.00,16.64,12.37,0.00,5.00,7.62,11.40,7.07,13.93,17.49,12.21,8.00,8.25,8.54,9.22,4.12,2.00,4.47,5.66,8.94,4.12,14.00,11.18,10.05,18.44,16.40,10.00,12.04,8.49,17.20,14.32,16.16,17.72,12.08,10.30,5.83,2.00,3.00,3.61,6.08,10.20,22.67,22.80,23.32,25.94,23.09,25.50,26.25,27.59,36.07,41.40,39.20,38.29,33.97,30.41,32.65,26.91,29.68,25.00,30.61,25.30,21.40,18.03,27.89,28.16,32.39,33.54,30.00,33.02,37.59,35.34,36.40,24.35,24.70,27.78,34.99,54.12,47.85,45.62,40.82,38.83,39.66,31.95,36.01,38.05,35.23,32.02,30.81,28.79,28.64,26.68,26.17,26.02,24.08,21.63,23.32,27.02,25.50,26.00,28.64,28.18,17.72,23.43,25.71,22.56,37.34,27.46,24.08,26.08,19.42,24.19,26.31,34.93,35.47,31.78,30.68,26.25,30.53,29.21,23.26,22.47,20.88,21.47,22.47,24.41,24.08,25.00,19.92,16.16,21.38,15.81,16.03
53,15.30,22.20,39.92,25.55,15.62,23.77,36.12,2.24,29.12,12.65,24.70,23.43,23.41,21.10,20.81,18.60,17.49,13.45,12.81,14.87,14.87,16.03,15.13,19.03,17.72,21.93,22.14,19.10,17.12,16.03,14.04,19.10,19.85,17.20,34.21,37.66,40.02,32.39,41.48,32.98,33.14,10.00,9.90,7.28,3.61,7.81,5.66,10.00,6.32,12.37,18.97,17.09,5.00,0.00,3.00,7.00,2.24,17.12,19.92,14.56,12.37,13.00,13.42,14.21,7.62,6.40,9.43,8.06,9.43,5.10,11.70,8.25,7.62,13.45,11.66,5.39,7.07,3.61,12.21,9.49,11.40,13.15,7.28,5.39,2.24,3.61,3.16,5.10,2.83,7.81,17.69,17.80,18.36,21.02,18.44,21.10,21.26,22.63,31.11,36.62,34.41,33.42,29.07,25.46,27.80,22.02,24.70,20.00,25.61,20.62,16.40,13.42,24.19,25.02,29.02,30.07,27.29,30.15,33.11,31.02,32.28,20.40,20.12,23.26,30.41,49.66,43.46,41.23,36.24,34.13,34.99,27.89,33.14,35.51,32.98,29.43,27.17,24.74,24.35,23.09,23.02,23.19,21.10,17.00,18.79,22.20,25.00,25.24,26.93,27.80,21.10,24.21,24.17,21.02,36.24,27.59,25.55,23.77,17.89,22.14,24.35,33.24,34.48,31.06,29.53,25.06,30.48,29.73,22.80,21.63,19.72,21.26,22.63,24.76,25.00,26.83,23.19,19.24,25.02,19.10,20.40
54,16.16,19.85,38.90,24.17,13.89,23.19,36.00,5.10,30.08,15.52,26.40,25.81,26.25,23.71,23.32,21.10,20.12,15.81,14.87,17.03,16.12,16.49,15.03,19.10,18.79,24.70,25.00,19.65,17.03,16.12,14.56,21.40,22.20,19.72,33.54,37.22,39.46,32.06,40.79,32.39,33.00,7.00,8.06,7.07,6.32,10.00,8.06,12.04,9.22,15.30,21.84,19.92,7.62,3.00,0.00,4.00,2.83,20.10,22.80,17.46,15.30,15.81,16.16,16.64,9.22,8.60,12.08,11.05,12.08,8.06,13.04,9.43,9.22,11.40,10.44,5.10,5.39,3.16,9.90,6.71,8.54,10.20,4.47,2.83,4.47,5.83,5.00,6.40,2.24,5.83,15.62,15.56,15.81,18.36,15.52,18.11,19.10,20.62,29.07,34.99,32.76,31.62,27.20,23.43,26.08,20.25,22.20,17.69,23.35,17.72,14.14,12.37,24.00,25.32,29.07,30.02,27.89,30.59,31.95,30.08,31.58,20.02,18.97,22.14,29.15,48.47,42.38,40.16,34.93,32.65,33.54,27.29,33.54,36.14,33.84,30.08,27.00,24.19,23.54,23.02,23.35,23.77,21.59,15.81,17.72,20.59,26.91,27.02,28.18,29.73,24.08,26.63,25.55,22.47,37.74,29.73,28.18,24.70,19.42,23.26,25.50,34.44,36.06,32.80,31.06,26.63,32.53,32.02,24.76,23.43,21.40,23.35,24.84,27.02,27.46,29.55,26.17,22.20,28.02,22.09,23.35
55,18.03,17.03,37.85,22.80,12.37,23.02,36.22,9.06,31.76,19.42,29.00,29.15,30.08,27.31,26.83,24.60,23.77,19.24,18.03,20.25,18.44,17.89,15.81,19.92,20.81,28.46,28.86,21.02,17.72,17.09,16.12,24.70,25.55,23.26,33.06,37.00,39.05,32.06,40.20,32.02,33.24,3.00,7.00,8.60,10.20,13.42,11.70,15.26,13.15,19.24,25.71,23.77,11.40,7.00,4.00,0.00,6.32,24.08,26.68,21.38,19.24,19.65,19.92,20.12,12.21,12.08,15.81,15.03,15.81,12.04,15.56,12.04,12.21,9.49,10.05,7.07,5.39,5.83,7.62,3.61,5.00,6.32,2.00,2.83,8.25,9.49,8.54,9.43,5.39,5.10,13.42,13.04,12.73,15.00,11.70,14.14,16.64,18.36,26.63,33.11,30.87,29.53,25.06,21.10,24.17,18.38,19.10,15.00,20.62,13.93,11.66,12.04,24.33,26.25,29.61,30.41,29.15,31.62,30.81,29.27,31.06,20.22,18.11,21.21,27.89,47.13,41.23,39.05,33.53,31.02,31.95,27.00,34.48,37.34,35.34,31.38,27.29,24.02,23.02,23.54,24.35,25.08,22.85,15.03,17.03,18.97,29.73,29.70,30.23,32.56,28.07,30.02,27.80,24.84,40.00,32.80,31.78,26.42,21.93,25.24,27.46,36.36,38.42,35.38,33.42,29.07,35.47,35.23,27.66,26.17,24.04,26.40,28.02,30.23,30.89,33.24,30.15,26.17,32.02,26.08,27.29
56,13.60,20.25,37.70,23.32,13.45,21.59,34.06,4.24,27.51,13.15,23.60,23.02,23.77,21.02,20.59,18.36,17.46,13.04,12.04,14.21,13.42,14.14,13.04,17.00,16.16,22.14,22.56,17.26,15.03,14.00,12.17,18.60,19.42,17.00,32.02,35.51,37.85,30.27,39.29,30.81,31.06,9.22,7.81,5.10,4.00,7.21,5.39,9.22,7.00,13.04,19.42,18.79,7.07,2.24,2.83,6.32,0.00,18.00,20.40,15.13,13.93,14.76,15.26,16.28,9.85,8.60,11.40,9.06,9.49,6.08,10.30,6.71,6.40,11.40,9.43,3.16,5.00,1.41,10.30,8.06,10.05,12.00,6.00,4.00,2.00,5.83,5.39,7.28,4.12,8.60,15.62,15.81,16.55,19.31,17.12,20.00,19.21,20.52,29.00,34.41,32.20,31.24,26.91,23.35,25.61,19.85,22.83,18.03,23.60,19.24,14.42,11.18,22.09,23.09,27.00,28.02,25.50,28.28,30.87,28.79,30.08,18.25,17.89,21.02,28.18,47.42,41.23,39.00,34.00,31.91,32.76,25.71,31.26,33.73,31.32,27.66,25.08,22.56,22.14,21.02,21.10,21.38,19.24,14.76,16.55,20.00,24.08,24.21,25.50,26.91,22.00,23.85,22.83,19.72,34.99,26.91,25.50,22.14,16.64,20.62,22.85,31.78,33.29,30.00,28.30,23.85,29.70,29.21,21.93,20.62,18.60,20.52,22.02,24.21,24.70,26.93,24.02,20.02,26.02,20.00,21.84
57,19.10,36.69,47.42,36.06,28.79,31.14,39.45,15.30,27.51,5.39,19.42,13.04,7.81,9.06,10.00,9.22,7.28,9.90,12.04,11.40,16.97,21.26,23.02,24.76,19.21,7.62,6.40,22.67,24.21,22.80,20.00,11.40,11.18,8.54,40.46,42.44,45.22,37.20,47.20,39.05,36.89,27.07,24.52,19.65,14.00,12.65,13.15,12.53,11.00,5.10,4.12,8.06,13.93,17.12,20.10,24.08,18.00,0.00,4.47,3.61,7.07,8.60,9.43,12.53,16.64,14.76,11.40,9.06,9.49,12.04,15.81,16.16,14.87,27.89,24.35,19.24,22.20,19.03,27.46,26.02,28.02,30.00,24.00,22.00,16.00,15.81,16.76,17.46,19.42,24.04,31.62,32.28,33.73,36.67,35.06,38.00,35.11,35.85,43.83,47.20,45.22,44.94,41.18,38.48,39.45,34.44,39.56,34.48,39.56,37.12,31.05,25.08,29.73,28.02,32.45,33.84,28.18,31.30,41.77,38.90,38.95,27.66,30.53,33.02,39.82,57.38,50.99,48.84,45.34,44.20,44.82,34.66,34.01,34.79,31.32,29.55,32.02,31.83,32.65,28.32,26.40,25.24,24.21,28.18,29.15,34.00,18.11,19.24,24.04,20.00,4.00,13.15,21.19,18.79,30.00,18.11,12.08,23.71,16.64,21.47,22.85,29.43,28.00,24.00,24.19,20.62,21.21,18.68,16.28,16.76,16.55,14.32,14.04,15.03,13.34,12.21,6.08,2.24,8.06,2.00,6.71
58,18.36,37.66,46.01,35.78,29.61,30.23,37.20,18.38,24.60,7.28,16.16,9.06,3.61,5.10,6.32,6.40,5.00,9.49,11.70,10.30,16.12,20.59,22.85,23.85,17.80,3.16,2.24,21.40,23.71,22.36,19.70,8.60,8.06,6.40,38.90,40.46,43.28,35.38,45.34,37.48,34.83,29.61,26.02,21.02,16.49,14.00,15.13,13.15,13.60,7.62,1.00,12.37,17.49,19.92,22.80,26.68,20.40,4.47,0.00,5.39,11.40,13.04,13.89,17.00,20.62,18.60,15.56,12.08,11.05,14.87,15.81,17.12,16.03,29.15,25.32,21.02,24.02,21.21,29.02,28.16,30.15,32.25,26.31,24.33,18.44,19.24,20.12,21.10,22.47,27.31,32.56,33.38,35.13,38.12,37.05,40.20,35.90,36.40,44.01,46.65,44.78,44.72,41.23,38.90,39.40,34.79,40.61,35.51,40.26,39.01,32.25,25.71,28.43,26.17,30.48,31.89,25.81,28.84,40.80,37.80,37.54,26.93,30.46,32.65,39.12,55.87,49.52,47.42,44.41,43.57,44.10,33.42,31.38,31.78,28.23,26.93,30.41,30.81,31.91,27.02,24.76,23.35,22.67,28.46,29.15,34.18,14.56,15.81,21.02,16.12,4.47,9.00,18.36,16.40,26.08,14.00,7.62,21.40,14.87,19.21,20.25,25.96,24.08,20.10,20.62,17.46,17.03,14.32,13.00,13.89,14.21,11.18,10.44,11.05,9.06,7.81,5.00,3.00,7.81,4.00,10.05
59,15.56,33.24,43.93,32.45,25.30,27.59,36.24,13.00,24.74,2.00,17.03,11.70,8.94,8.06,8.54,7.07,5.10,6.40,8.49,8.06,13.45,17.69,19.42,21.21,15.81,7.81,7.62,19.21,20.62,19.21,16.40,9.00,9.06,6.00,37.01,39.12,41.88,33.84,43.83,35.61,33.62,24.33,21.21,16.28,11.18,9.22,10.00,8.94,8.25,2.24,4.47,10.20,12.21,14.56,17.46,21.38,15.13,3.61,5.39,0.00,7.28,9.22,10.20,13.34,15.56,13.45,10.82,6.71,6.08,9.49,12.21,12.65,11.40,24.52,20.88,16.03,19.03,16.03,24.19,23.02,25.02,27.07,21.10,19.10,13.15,13.89,14.76,15.81,17.09,21.93,28.16,28.86,30.41,33.38,32.00,35.06,31.62,32.31,40.25,43.60,41.62,41.34,37.59,34.93,35.85,30.87,36.14,31.05,36.06,34.01,27.66,21.54,26.25,24.70,29.15,30.53,25.08,28.23,38.21,35.36,35.47,24.08,26.93,29.41,36.24,53.91,47.51,45.34,41.77,40.61,41.23,31.14,31.02,32.02,28.64,26.57,28.60,28.28,29.07,24.84,23.02,21.95,20.81,24.60,25.55,30.41,16.03,17.00,21.38,18.25,7.28,12.08,18.44,15.81,28.16,16.76,12.04,20.62,13.42,18.38,19.92,27.07,26.17,22.20,22.00,18.11,19.92,17.89,14.00,14.14,13.60,12.00,12.17,13.60,12.53,12.81,9.06,5.10,11.40,5.39,10.00
60,20.12,34.00,48.26,35.36,26.63,31.62,41.79,10.20,31.26,7.00,24.02,18.97,14.87,15.23,15.81,14.32,12.37,12.17,13.60,14.14,18.38,21.95,22.80,25.55,21.19,14.42,13.45,24.17,24.41,23.02,20.25,16.12,16.28,13.15,41.68,44.28,46.96,38.91,48.76,40.31,39.00,22.20,21.47,17.20,10.30,11.40,10.63,12.53,7.81,6.00,10.82,5.00,8.00,12.37,15.30,19.24,13.93,7.07,11.40,7.28,0.00,2.00,3.00,6.08,9.85,8.25,4.47,5.66,8.94,8.06,16.12,14.87,13.45,25.06,22.20,16.12,18.79,15.23,24.17,21.84,23.77,25.50,19.65,17.72,12.08,10.00,11.00,11.18,14.04,18.11,29.15,29.53,30.46,33.24,30.81,33.38,32.76,33.84,42.20,46.67,44.55,43.93,39.82,36.62,38.29,32.80,36.67,31.76,37.22,32.98,28.18,23.43,30.89,30.08,34.54,35.85,31.05,34.21,42.01,39.41,39.96,28.02,29.70,32.56,39.70,58.25,51.87,49.65,45.45,43.86,44.60,35.51,37.11,38.47,35.23,32.76,33.54,32.45,32.80,29.53,28.23,27.51,26.00,26.91,28.28,32.65,23.19,24.08,28.07,25.50,10.30,19.31,25.08,22.20,35.36,24.04,18.87,26.68,19.42,24.52,26.31,34.00,33.38,29.43,29.07,25.00,27.20,25.08,21.10,21.00,20.10,19.10,19.42,20.88,19.70,19.21,12.53,9.22,13.60,8.60,8.06
61,21.93,34.99,49.93,36.80,27.80,33.29,43.66,10.77,33.24,9.00,26.02,20.88,16.40,17.09,17.72,16.28,14.32,14.14,15.52,16.12,20.25,23.71,24.41,27.29,23.09,16.12,15.00,26.00,26.08,24.70,21.95,18.11,18.25,15.13,43.42,46.10,48.75,40.72,50.54,42.06,40.85,22.56,22.47,18.44,11.40,13.04,12.04,14.32,9.22,8.00,12.53,4.12,8.25,13.00,15.81,19.65,14.76,8.60,13.04,9.22,2.00,0.00,1.00,4.12,9.22,8.00,4.00,7.21,10.77,9.22,17.89,16.40,15.00,26.08,23.43,17.20,19.72,16.12,25.06,22.47,24.35,25.96,20.25,18.38,13.04,10.20,11.18,11.00,14.32,18.00,30.23,30.53,31.30,34.01,31.32,33.73,33.84,35.00,43.42,48.10,45.97,45.28,41.11,37.80,39.62,34.06,37.59,32.76,38.28,33.53,29.15,24.76,32.65,31.95,36.40,37.70,32.98,36.14,43.60,41.05,41.68,29.68,31.14,34.06,41.23,59.91,53.54,51.31,47.01,45.34,46.10,37.22,39.05,40.45,37.22,34.71,35.34,34.13,34.41,31.30,30.08,29.41,27.86,28.28,29.73,33.97,25.18,26.08,30.07,27.46,11.40,21.19,27.07,24.19,37.34,25.96,20.59,28.64,21.38,26.48,28.28,36.00,35.36,31.40,31.06,27.00,29.12,26.93,23.09,23.00,22.09,21.10,21.38,22.80,21.54,20.81,13.60,10.63,14.32,9.90,8.06
62,22.85,35.51,50.77,37.54,28.43,34.13,44.60,11.18,34.23,10.00,27.02,21.84,17.20,18.03,18.68,17.26,15.30,15.13,16.49,17.12,21.19,24.60,25.24,28.18,24.04,17.00,15.81,26.93,26.93,25.55,22.83,19.10,19.24,16.12,44.29,47.01,49.66,41.63,51.43,42.94,41.79,22.80,23.02,19.10,12.04,13.89,12.81,15.23,10.00,9.00,13.42,4.00,8.54,13.42,16.16,19.92,15.26,9.43,13.89,10.20,3.00,1.00,0.00,3.16,9.06,8.06,4.12,8.06,11.70,9.90,18.79,17.20,15.81,26.63,24.08,17.80,20.25,16.64,25.55,22.85,24.70,26.25,20.62,18.79,13.60,10.44,11.40,11.05,14.56,18.03,30.81,31.06,31.76,34.44,31.62,33.96,34.41,35.61,44.05,48.84,46.69,45.97,41.77,38.42,40.31,34.71,38.08,33.29,38.83,33.84,29.68,25.46,33.54,32.89,37.34,38.63,33.96,37.11,44.41,41.88,42.54,30.53,31.89,34.83,42.01,60.75,54.38,52.15,47.80,46.10,46.86,38.08,40.02,41.44,38.21,35.69,36.25,34.99,35.23,32.20,31.02,30.36,28.79,29.00,30.48,34.66,26.17,27.07,31.06,28.44,12.04,22.14,28.07,25.18,38.33,26.93,21.47,29.61,22.36,27.46,29.27,37.00,36.35,32.39,32.06,28.00,30.08,27.86,24.08,24.00,23.09,22.09,22.36,23.77,22.47,21.63,14.21,11.40,14.76,10.63,8.25
